approach,t,mean,q25,q75
A_flow_map,1.3800000000000001,5.004440689138008,2.186082867117364,6.812658022605193
A_flow_map,1.3840000000000001,5.069224285892539,2.21888786533994,6.853309498580606
A_flow_map,1.3880000000000001,5.134633104993135,2.2520785977343025,6.893712791544903
A_flow_map,1.3920000000000001,5.200675784928522,2.2856691902270136,6.933883596976759
A_flow_map,1.3960000000000001,5.267361016511287,2.3196734561287853,6.973837343892647
A_flow_map,1.4000000000000001,5.334697498601271,2.3541047005263263,7.01358918081793
A_flow_map,1.4040000000000001,5.402693888350777,2.388975520822913,7.038585542942288
A_flow_map,1.408,5.471358747201475,2.4242976060054606,7.055476859305579
A_flow_map,1.412,5.540700483991807,2.460081537892055,7.071857700301447
A_flow_map,1.416,5.610727296617031,2.5037245498718486,7.087740787439877
A_flow_map,1.42,5.6814471137191775,2.5498058534397083,7.103138294485482
A_flow_map,1.424,5.75286753787019,2.59711786290646,7.118061868310113
A_flow_map,1.428,5.824995791648347,2.6457135501016227,7.1325226498896
A_flow_map,1.432,5.897838667897434,2.6956409246579778,7.1465312952690585
A_flow_map,1.436,5.9714024853042496,2.7469426430186648,7.1600979963535165
A_flow_map,1.44,6.045693050238554,2.799655702029708,7.1732325014083775
A_flow_map,1.444,6.120715625579338,2.8276927852047065,7.185944135177993
A_flow_map,1.448,6.1964749070118454,2.848696544437596,7.1982418185508195
A_flow_map,1.452,6.27297500703318,2.8693635457897515,7.210134087716761
