model,t,mean_error
linear,2.716,1.054091409114382
linear,2.72,1.0547119105645728
linear,2.724,1.0552792940930125
linear,2.728,1.0557922269639124
linear,2.732,1.0562493969165536
linear,2.736,1.0566495177662492
linear,2.74,1.0569913339791643
linear,2.744,1.057273624048587
linear,2.748,1.0574952025641964
linear,2.7520000000000002,1.057654920941583
linear,2.7560000000000002,1.0577516668624152
linear,2.7600000000000002,1.0577843625610397
linear,2.7640000000000002,1.0577519621752107
linear,2.7680000000000002,1.0576534484513407
linear,2.7720000000000002,1.057487829153175
linear,2.7760000000000002,1.057254133562978
linear,2.7800000000000002,1.0569514094837344
linear,2.7840000000000003,1.0565787211483726
linear,2.7880000000000003,1.0561351484182229
linear,2.7920000000000003,1.05561978760964
linear,2.7960000000000003,1.055031754227899
linear,2.8000000000000003,1.0543701878147171
linear,2.8040000000000003,1.053634259034005
linear,2.8080000000000003,1.0528231790337195
linear,2.8120000000000003,1.0519362110337769
linear,2.816,1.0509726840043787
linear,2.82,1.0499320082188843
linear,2.824,1.048813692393154
linear,2.828,1.0476173620612546
linear,2.832,1.0463427787872162
linear,2.836,1.0449898597752827
linear,2.84,1.0435586974172817
linear,2.844,1.0420495783051789
linear,2.848,1.0404630012386913
linear,2.852,1.038799693770459
linear,2.856,1.0370606268526514
linear,2.86,1.0352470271767267
linear,2.864,1.0333603868301182
linear,2.868,1.031402469928244
linear,2.872,1.0293753159165564
linear,2.876,1.027281239275774
linear,2.88,1.0251228254054585
linear,2.884,1.0229029225094295
linear,2.888,1.020624629364312
linear,2.892,1.018291278923185
linear,2.896,1.0159064177924537
linear,2.9,1.0134737817230712
linear,2.904,1.0109972673766974
linear,2.908,1.0084809007607665
linear,2.912,1.0059288028690812
linear,2.916,1.0033451532097875
linear,2.92,1.0007341520419488
linear,2.924,0.9980999822655774
linear,2.928,0.9954467720070568
linear,2.932,0.9927785590013339
linear,2.936,0.990099257883584
linear,2.94,0.9874126314576828
linear,2.944,0.9847222669015505
linear,2.948,0.9820315577000495
linear,2.952,0.9793436918703804
linear,2.956,0.9766616467753166
linear,2.96,0.9739881905243729
linear,2.964,0.9713258896644088
linear,2.968,0.9686771225828593
linear,2.972,0.9660440978102092
linear,2.976,0.9634288762300953
linear,2.98,0.9608333960949974
linear,2.984,0.9582594997044502
linear,2.988,0.955708960625531
linear,2.992,0.9531835104108607
linear,2.996,0.9506848638834275
linear,3.0,0.9482147421953615
linear,3.004,0.9457748930161923
linear,3.008,0.9433671073548482
linear,3.012,0.9409932326620705
linear,3.016,0.9386551819929629
linear,3.02,0.9363549391328302
linear,3.024,0.9340945597048851
linear,3.028,0.9318761683881013
linear,3.032,0.9297019524791349
linear,3.036,0.9275741521341162
linear,3.04,0.9254950477223591
linear,3.044,0.9234669448105903
linear,3.048,0.9214921573673254
linear,3.052,0.9195729898258058
linear,3.056,0.9177117186643109
linear,3.06,0.9159105741506206
linear,3.064,0.9141717228523548
linear,3.068,0.9124972514405117
linear,3.072,0.9108891522177078
linear,3.076,0.9093493106961853
linear,3.08,0.9078794954455637
linear,3.084,0.9064813503368496
linear,3.088,0.9051563892340291
linear,3.092,0.9039059931287534
linear,3.096,0.9027314096732809
linear,3.1,0.9016337550335747
linear,3.104,0.9006140179488398
linear,3.108,0.8996730658374549
linear,3.112,0.8988116527283159
linear,3.116,0.8980304287225778
linear,3.12,0.8973299506109352
linear,3.124,0.8967106931972552
linear,3.128,0.8961730608232555
linear,3.132,0.895717398562297
linear,3.136,0.8953440025602559
linear,3.14,0.8950531290494876
linear,3.144,0.8948450016437309
linear,3.148,0.8947198166285611
linear,3.152,0.8946777460817776
