t,position_error,velocity_error,energy,energy_rel_error,ang_mom_rel_error,radius,radius_true,model,predicted_x,predicted_y,predicted_vx,predicted_vy,truth_x,truth_y,truth_vx,truth_vy
0.872,0.0378085237513525,0.4446388631549021,-17.621001249126323,0.06022076655170046,0.03554640338125997,1.0692753169900573,1.1050720669531833,forest,0.5562267333311106,-0.9132149389119677,5.469100494623636,2.947606306052904,0.5853768814329209,-0.9372930063987722,5.22683147937101,2.57476660473851
0.876,0.03623413921775748,0.45011766879046494,-17.531567934478403,0.06499050526837695,0.03813395900655298,1.0730187192662428,1.1073961835285253,forest,0.5778641466654023,-0.9041251019048384,5.397279430239133,3.0643231731478933,0.6061458775604018,-0.9267758533809961,5.157335807152682,2.683491223992482
0.88,0.03463810062477482,0.4544776958763673,-17.449608043355223,0.0693616645779007,0.04054648840540886,1.0767915032459503,1.1096887527490036,forest,0.5992112826529044,-0.8946651777084734,5.321924160551512,3.1786674967999757,0.6266329571532467,-0.9158276393443346,5.085882059837335,2.790293832992129
0.884,0.033074492558466256,0.4594795106492259,-17.366372271071416,0.07380087033961823,0.04300957876740376,1.0804949805161774,1.111948909986016,forest,0.6203067412511747,-0.8846970948742868,5.244707055039612,3.291655034442877,0.6468303936334138,-0.9044560908585514,5.012522985439585,2.895155376775406
0.888,0.032266430359261314,0.46328349830270626,-17.31061672053967,0.07677447597067226,0.0446671843903945,1.0833353982428693,1.1141758140688656,forest,0.6407569701942971,-0.8735250942208019,5.167200073076247,3.4002799213845103,0.6667306700496738,-0.8926690082394102,4.937310647596278,2.998058027584479
0.892,0.03158901573586023,0.4664226995900153,-17.262166698742348,0.07935845651193113,0.04612191263306375,1.0860204597450194,1.1163686469762464,forest,0.6608282116822275,-0.8618274268260744,5.0877505793537425,3.506188686211663,0.6863264763206366,-0.8804742607554599,4.8602964162295414,3.0989851273245788
0.896,0.031258780939232504,0.4701100850940734,-17.22287656987767,0.08145391332874301,0.047301109534163555,1.0882742894397575,1.1185266135240692,forest,0.6804870264706783,-0.849281070000211,5.00721286983809,3.6103179888848804,0.7056107064450594,-0.8678797820618513,4.781530960499137,3.197921131592925
0.9,0.031217278554997754,0.4729928309640662,-17.19903644223695,0.08272537665609606,0.04804121088731714,1.0902037585636042,1.1206489410506164,forest,0.6996861702921433,-0.836052329874227,4.9241788877095125,3.71191518816697,0.7245764556883026,-0.8548935658548642,4.7010642439018255,3.2948515552978708
0.904,0.03143468970865335,0.4757234380572906,-17.18683053955919,0.08337635293717534,0.04844883708174095,1.0918405834862943,1.1227348790999585,forest,0.7184662653638243,-0.8221448079759737,4.838648683346704,3.8117147063922387,0.7432170177532497,-0.8415236617407522,4.618945521381313,3.3897629198816728
0.908,0.03157665521294015,0.4784562974146261,-17.171852606349745,0.08417516966678139,0.04894277618694152,1.093562244026367,1.1247836991045037,forest,0.7369537173524539,-0.807946532909439,4.751035454562228,3.9096620916649094,0.7615258819434696,-0.827778171312479,4.5352233383183655,3.482642702154247
0.912,0.031815191456173696,0.4808924286066366,-17.159080568261786,0.08485633959544649,0.04936583559377763,1.095186591323421,1.1267946940674922,forest,0.7550467400708406,-0.793308319711202,4.66222991255949,4.004980002415294,0.7794967303258914,-0.8136652444278901,4.449945531276505,3.573479284739774
0.916,0.032254698464758515,0.4837473367360601,-17.15044367393282,0.08531697028362896,0.04966215942919535,1.0965996451413542,1.1287671782461943,forest,0.7727515989837028,-0.7780653879927282,4.571782491582507,4.098711012481311,0.7971234348997741,-0.79919307568288,4.363159230384605,3.6622619081330683
0.92,0.03282102599983941,0.48642447140173223,-17.147336161517934,0.08548270295647223,0.049802856123870407,1.0978960645375542,1.1307004868365214,forest,0.7900584039282254,-0.7623539118476631,4.47898589758488,4.190525805214117,0.8144000547782915,-0.784369901073124,4.274910863243484,3.748980624358281
0.924,0.033101374351613,0.4890242729225663,-17.136752878502158,0.08604714021286401,0.05018263444392587,1.0994929949217656,1.1325939756597052,forest,0.8071328155054773,-0.7466066327164759,4.383379872597768,4.2807143548766575,0.8313208333886113,-0.7692039948379894,4.185246160249254,3.833626252218534
0.928,0.03346121763464822,0.49101286783081255,-17.131415853322643,0.08633177928423046,0.050413944272986524,1.101013316668421,1.1344470208516595,forest,0.8237793534881342,-0.7304915470064445,4.285815918772012,4.368275359368995,0.8478801956959316,-0.7537036664802914,4.094210161231766,3.9161903341216773
0.932,0.03349538462911922,0.4932924183492674,-17.114120880211992,0.08725417048905729,0.05100681055656943,1.1028509722240283,1.1362590185555888,forest,0.840212017133841,-0.7143696754477803,4.186377108391634,4.45414310651884,0.86407274545654,-0.737877257955622,4.001847223311939,3.9966650944643334
0.936,0.0337673287099371,0.4951215779940278,-17.10421436016498,0.08778251400849162,0.051372835810039465,1.1044492475652024,1.1380293846183682,forest,0.8561440465102934,-0.6977288241661815,4.086068554260243,4.537113221949278,0.8798932625045854,-0.7217331410250594,3.9082010298870142,4.07504339955375
0.9400000000000001,0.033769247267724636,0.4966992736457493,-17.087494653388582,0.0886742245870028,0.051952485202681316,1.1062902390125764,1.1397575542911842,forest,0.8717862919660806,-0.6810776417373684,3.9839500003461974,4.6177881487113055,0.8953367000769068,-0.7052797147651538,3.8133146006579612,4.15131871904474
0.9440000000000001,0.03358526369925969,0.4982196781188497,-17.063743356266702,0.08994095032449231,0.052740002908804186,1.108283991525596,1.1414429819348815,forest,0.8871115167140474,-0.6643241398483196,3.8810395235371162,4.69600542509794,0.9103981821799165,-0.6885254032291745,3.7172303026182125,4.2254850888670905
0.9480000000000001,0.03393925783484203,0.49973483763223425,-17.054592556999,0.09042898905734613,0.05307972289314785,1.1097664560583294,1.143085140730426,forest,0.9018335211604988,-0.6467440661525392,3.7771548807416924,4.77191463074022,0.9250730010022356,-0.6714786532537098,3.619989861927704,4.2975370756171785
0.9520000000000001,0.034207973740027625,0.5012319345669533,-17.04151479429717,0.09112646416862868,0.05353467294319062,1.1113165052842147,1.1446835223948737,forest,0.9161990871257611,-0.628970275662564,3.6723289667851122,4.84551220150359,0.9393566143764763,-0.6541479324048187,3.5216343766008458,4.3674697423862785
0.9560000000000001,0.03454676499864162,0.5025833671677165,-17.030035259806922,0.09173870112219705,0.053939237188162015,1.1127876102474454,1.1462376369031817,forest,0.9301247005962036,-0.6108717597508033,3.5665329736280595,4.916692454149985,0.9532446432932912,-0.636541727058043,3.422204329941507,4.435278615996946
0.96,0.034843839214385934,0.5039919939965373,-17.01692395314209,0.09243796523056279,0.05439653794020895,1.1142855638250821,1.1477470122161937,forest,0.9436749670438017,-0.5925452508660087,3.4592385085497637,4.985832815776903,0.9667328694705519,-0.6186685406067065,3.321739604662359,4.500959655618117
0.964,0.03523568581145231,0.5053327944257636,-17.005423306514054,0.09305132815582741,0.054800993594366555,1.1156881582560307,1.1492111940150844,forest,0.9567791495381092,-0.5738760541108735,3.35109784926215,5.052615555404949,0.9798172329802751,-0.6005368917930466,3.2202794976300395,4.5645092227289545
0.968,0.03589000389984745,0.5064583946844746,-17.00185203875097,0.09324179424985791,0.05496535333705504,1.1168536735534897,1.1506297454425356,forest,0.9693535463430066,-0.5547213988320276,3.2416154827558077,5.117030316883848,0.9924938299356894,-0.5821553131568425,3.1178627351815145,4.6259240524011105
0.972,0.0365421226485735,0.5074505980882784,-16.99837559012626,0.09342720336353229,0.05512858025929815,1.1180078036044678,1.1520022468508853,forest,0.9815014551678173,-0.5353469365037438,3.130937342747051,5.179119088920645,1.0047589102406247,-0.56353234959633,3.0145274889607427,4.685201225868901
0.976,0.036426881791882144,0.5084356285803701,-16.97440188825824,0.09470579059282282,0.055924051125637704,1.1197557568930192,1.1533282955574728,forest,0.9935173166998437,-0.5165039172287089,3.01954776832105,5.238900529710443,1.0166088754032094,-0.5446765570363089,2.910311392228356,4.742338144356848
0.98,0.03554138551979554,0.5091263768418374,-16.932723216660023,0.09692863533881348,0.05727168139391464,1.1220485822727941,1.154607505607385,forest,1.005367415011769,-0.49822623557269713,2.907756989637008,5.296033119527962,1.028040276415679,-0.5255965011984783,2.8052515566004064,4.797332504134242
0.984,0.035262424884740164,0.5092643729900139,-16.911191271495124,0.09807699658319637,0.05800769096137563,1.1237886077158779,1.1558395075437782,forest,1.0165037794565153,-0.47918775149476783,2.7945566198547347,5.350474673441713,1.0390498117019284,-0.5063007564691474,2.69938458917551,4.850182272766563
0.988,0.03548330956084735,0.5090208217553124,-16.903735761405553,0.0984746206147644,0.0583048871235426,1.125082870234532,1.1570239481859501,forest,1.026975811141481,-0.45949118405630984,2.680917310745418,5.402212031802037,1.0496343251342868,-0.48679790485959834,2.5927466100127465,4.900885666534098
0.992,0.03575944202788904,0.5090684995578819,-16.895285156768985,0.09892531593197416,0.05862813509688932,1.126322390458931,1.1581604904153064,forest,1.0370274442963823,-0.4395181532374226,2.566385804400064,5.452022173696893,1.0597908041208484,-0.46709653505448795,2.4853732699255695,4.949441128988547
0.996,0.03604528326030655,0.5091621688796691,-16.88689109450629,0.09937299567997625,0.058950614203554616,1.1275268895392643,1.1592488129693557,forest,1.046645314629037,-0.41934528970667173,2.45077603220709,5.499679974207541,1.0695163777645555,-0.44720524154379565,2.3772997685597317,4.995847310619051
