system,offset,t_normalised,relative_separation,amplification
projectile,1e-10,0.3759398496240602,5.316593938508492e-11,0.5316593938508493
projectile,1e-10,0.37844611528822053,5.352036614310845e-11,0.5352036614310844
projectile,1e-10,0.38095238095238093,5.387489425279283e-11,0.5387489425279283
projectile,1e-10,0.38345864661654133,5.42292196591555e-11,0.5422921965915549
projectile,1e-10,0.3859649122807018,5.458369709303297e-11,0.5458369709303297
projectile,1e-10,0.38847117794486213,5.49381745268634e-11,0.5493817452686339
projectile,1e-10,0.39097744360902253,5.529260128488692e-11,0.5529260128488692
projectile,1e-10,0.39348370927318294,5.564707871876395e-11,0.5564707871876395
projectile,1e-10,0.3959899749373434,5.6001454800933965e-11,0.5600145480093397
projectile,1e-10,0.39849624060150374,5.635588155895749e-11,0.5635588155895749
projectile,1e-10,0.40100250626566414,5.6710308316981014e-11,0.5671030831698102
projectile,1e-10,0.4035087719298246,5.706473507500454e-11,0.5706473507500454
projectile,1e-10,0.406015037593985,5.741926318468892e-11,0.5741926318468893
projectile,1e-10,0.40852130325814534,5.7773689942712445e-11,0.5777368994271245
projectile,1e-10,0.41102756892230574,5.812811670073597e-11,0.5812811670073598
projectile,1e-10,0.4135338345864662,5.848264481042036e-11,0.5848264481042036
projectile,1e-10,0.4160401002506266,5.883697021678302e-11,0.5883697021678302
projectile,1e-10,0.41854636591478694,5.919149832646741e-11,0.5919149832646741
projectile,1e-10,0.42105263157894735,5.954582373283007e-11,0.5954582373283007
projectile,1e-10,0.4235588972431078,5.990035184251446e-11,0.5990035184251445
projectile,1e-10,0.4260651629072682,6.025467724887712e-11,0.6025467724887712
projectile,1e-10,0.4285714285714286,6.060920535856151e-11,0.606092053585615
projectile,1e-10,0.43107769423558895,6.096363211658502e-11,0.6096363211658502
projectile,1e-10,0.4335839598997494,6.131805887460854e-11,0.6131805887460855
projectile,1e-10,0.43609022556390975,6.167248563263207e-11,0.6167248563263207
projectile,1e-10,0.43859649122807015,6.202691239065559e-11,0.620269123906556
projectile,1e-10,0.4411027568922306,6.238144050033998e-11,0.6238144050033998
projectile,1e-10,0.44360902255639095,6.273586725836351e-11,0.6273586725836351
projectile,1e-10,0.44611528822055135,6.309029401638703e-11,0.6309029401638703
projectile,1e-10,0.4486215538847118,6.344472077441055e-11,0.6344472077441056
projectile,1e-10,0.45112781954887216,6.379914753243408e-11,0.6379914753243408
projectile,1e-10,0.4536340852130326,6.41535742904576e-11,0.641535742904576
projectile,1e-10,0.45614035087719296,6.450800104848113e-11,0.6450800104848112
projectile,1e-10,0.45864661654135336,6.48625291581655e-11,0.648625291581655
projectile,1e-10,0.4611528822055138,6.521690524037828e-11,0.6521690524037829
projectile,1e-10,0.46365914786967416,6.557138267421255e-11,0.6557138267421255
projectile,1e-10,0.46616541353383456,6.592575875642513e-11,0.6592575875642512
projectile,1e-10,0.468671679197995,6.62802361902596e-11,0.6628023619025961
projectile,1e-10,0.47117794486215536,6.663471362413283e-11,0.6663471362413282
projectile,1e-10,0.4736842105263158,6.698908970630665e-11,0.6698908970630666
projectile,1e-10,0.47619047619047616,6.734351646433017e-11,0.6734351646433017
projectile,1e-10,0.47869674185463656,6.76979432223537e-11,0.676979432223537
projectile,1e-10,0.481203007518797,6.805242065622652e-11,0.6805242065622652
projectile,1e-10,0.48370927318295737,6.840684741424994e-11,0.6840684741424995
projectile,1e-10,0.48621553884711777,6.876132484808513e-11,0.6876132484808513
projectile,1e-10,0.4887218045112782,6.911575160610866e-11,0.6911575160610866
projectile,1e-10,0.49122807017543857,6.947017836413218e-11,0.6947017836413217
projectile,1e-10,0.493734335839599,6.982460512215569e-11,0.698246051221557
projectile,1e-10,0.4962406015037594,7.017913323184008e-11,0.7017913323184009
projectile,1e-10,0.49874686716791977,7.053355998986361e-11,0.705335599898636
projectile,1e-10,0.5012531328320802,7.088798674788713e-11,0.7088798674788713
projectile,1e-10,0.5037593984962405,7.124241350591065e-11,0.7124241350591065
projectile,1e-10,0.506265664160401,7.159684026393418e-11,0.7159684026393418
projectile,1e-10,0.5087719298245614,7.19512670219577e-11,0.719512670219577
projectile,1e-10,0.5112781954887218,7.230574445582942e-11,0.7230574445582942
projectile,1e-10,0.5137844611528822,7.266017121385285e-11,0.7266017121385285
projectile,1e-10,0.5162907268170427,7.301454729602828e-11,0.7301454729602828
projectile,1e-10,0.518796992481203,7.336902472989973e-11,0.7336902472989973
projectile,1e-10,0.5213032581453634,7.372340081207533e-11,0.7372340081207532
projectile,1e-10,0.5238095238095237,7.407787824594661e-11,0.7407787824594662
projectile,1e-10,0.5263157894736842,7.443235567978324e-11,0.7443235567978324
projectile,1e-10,0.5288220551378446,7.478678243780675e-11,0.7478678243780675
projectile,1e-10,0.531328320802005,7.514120919583028e-11,0.7514120919583028
projectile,1e-10,0.5338345864661654,7.54956359538538e-11,0.754956359538538
projectile,1e-10,0.5363408521303259,7.585011338772467e-11,0.7585011338772468
projectile,1e-10,0.5388471177944862,7.620454014574813e-11,0.7620454014574812
projectile,1e-10,0.5413533834586466,7.655901757958524e-11,0.7655901757958524
projectile,1e-10,0.5438596491228069,7.691344433760876e-11,0.7691344433760875
projectile,1e-10,0.5463659147869674,7.726787109563229e-11,0.7726787109563229
projectile,1e-10,0.5488721804511278,7.76222978536558e-11,0.776222978536558
projectile,1e-10,0.5513784461152882,7.797677528752623e-11,0.7797677528752623
projectile,1e-10,0.5538847117794486,7.833120204554968e-11,0.7833120204554969
projectile,1e-10,0.5563909774436091,7.868562880357313e-11,0.7868562880357313
projectile,1e-10,0.5588972431077694,7.904005556159658e-11,0.7904005556159658
projectile,1e-10,0.5614035087719298,7.939448231962003e-11,0.7939448231962003
projectile,1e-10,0.5639097744360902,7.974890907764348e-11,0.7974890907764348
projectile,1e-10,0.5664160401002506,8.010343718732778e-11,0.8010343718732779
projectile,1e-10,0.568922305764411,8.045781326950485e-11,0.8045781326950485
projectile,1e-10,0.5714285714285714,8.08122907033747e-11,0.808122907033747
projectile,1e-10,0.5739348370927319,8.11666667855519e-11,0.811666667855519
projectile,1e-10,0.5764411027568923,8.15211948952363e-11,0.8152119489523629
projectile,1e-10,0.5789473684210527,8.187557097744506e-11,0.8187557097744507
projectile,1e-10,0.581453634085213,8.223004841128334e-11,0.8223004841128334
projectile,1e-10,0.5839598997493735,8.258452584515284e-11,0.8258452584515285
projectile,1e-10,0.5864661654135338,8.293890192733039e-11,0.8293890192733039
projectile,1e-10,0.5889724310776943,8.329337936119976e-11,0.8329337936119976
projectile,1e-10,0.5914786967418546,8.364775544337744e-11,0.8364775544337744
