system,model,t_normalised,relative_error
projectile,poly2,0.12060301507537688,4.9387066791406023e-11
projectile,poly2,0.12562814070351758,5.0715611147055226e-11
projectile,poly2,0.1306532663316583,5.199929677386927e-11
projectile,poly2,0.135678391959799,5.3240249029457126e-11
projectile,poly2,0.1407035175879397,5.443755867602572e-11
projectile,poly2,0.1457286432160804,5.5595337889885475e-11
projectile,poly2,0.15075376884422112,5.6712057628364116e-11
projectile,poly2,0.15577889447236182,5.779056551792453e-11
projectile,poly2,0.16080402010050251,5.883243306901134e-11
projectile,poly2,0.1658291457286432,5.983847361109885e-11
projectile,poly2,0.1708542713567839,6.08094664618311e-11
projectile,poly2,0.17587939698492464,6.174714746172964e-11
projectile,poly2,0.18090452261306533,6.265251112941376e-11
projectile,poly2,0.18592964824120603,6.352660919918392e-11
projectile,poly2,0.19095477386934673,6.437052807409465e-11
projectile,poly2,0.19597989949748745,6.518473806447738e-11
projectile,poly2,0.20100502512562815,6.597188251314292e-11
projectile,poly2,0.20603015075376885,6.673194630716026e-11
projectile,poly2,0.21105527638190955,6.746546331665515e-11
projectile,poly2,0.21608040201005024,6.817420014103099e-11
projectile,poly2,0.22110552763819097,6.885835684339407e-11
projectile,poly2,0.22613065326633167,6.95200020540093e-11
projectile,poly2,0.23115577889447236,7.015945175684784e-11
projectile,poly2,0.23618090452261306,7.077723222132356e-11
projectile,poly2,0.24120603015075376,7.137487932739414e-11
projectile,poly2,0.24623115577889448,7.195313866160555e-11
projectile,poly2,0.25125628140703515,7.251207393148926e-11
projectile,poly2,0.2562814070351759,7.305350999477141e-11
projectile,poly2,0.2613065326633166,7.357796818471647e-11
projectile,poly2,0.2663316582914573,7.408576964690975e-11
projectile,poly2,0.271356783919598,7.457827902487766e-11
projectile,poly2,0.2763819095477387,7.505559130742319e-11
projectile,poly2,0.2814070351758794,7.55185726599035e-11
projectile,poly2,0.2864321608040201,7.596846709451552e-11
projectile,poly2,0.2914572864321608,7.640567279016775e-11
projectile,poly2,0.2964824120603015,7.68302224218179e-11
projectile,poly2,0.30150753768844224,7.724326123289452e-11
projectile,poly2,0.3065326633165829,7.764565589999293e-11
projectile,poly2,0.31155778894472363,7.803780063742685e-11
projectile,poly2,0.3165829145728643,7.841979161649603e-11
projectile,poly2,0.32160804020100503,7.879295171141021e-11
projectile,poly2,0.32663316582914576,7.915760180865875e-11
projectile,poly2,0.3316582914572864,7.95138543480153e-11
projectile,poly2,0.33668341708542715,7.986261617146753e-11
projectile,poly2,0.3417085427135678,8.020445095306604e-11
projectile,poly2,0.34673366834170855,8.053950385819953e-11
projectile,poly2,0.35175879396984927,8.086873888242441e-11
projectile,poly2,0.35678391959798994,8.119205920856678e-11
projectile,poly2,0.36180904522613067,8.150987535021974e-11
projectile,poly2,0.36683417085427134,8.182326294284098e-11
projectile,poly2,0.37185929648241206,8.21320947759262e-11
projectile,poly2,0.3768844221105528,8.243699164761492e-11
projectile,poly2,0.38190954773869346,8.273813535178488e-11
projectile,poly2,0.3869346733668342,8.303597545391295e-11
projectile,poly2,0.3919597989949749,8.33310033845058e-11
projectile,poly2,0.3969849246231156,8.362355918516146e-11
projectile,poly2,0.4020100502512563,8.391348687653293e-11
projectile,poly2,0.40703517587939697,8.420159833015188e-11
projectile,poly2,0.4120603015075377,8.448828097236819e-11
projectile,poly2,0.4170854271356784,8.477326223647206e-11
