model,t,mean,median,q25,q75,escaped_fraction
linear,0.704,0.7684106516427663,0.6865934024238157,0.5387884965782899,0.9364135665729989,0.0
linear,0.708,0.7718542790806631,0.6884957175967699,0.5410344627579144,0.9369245444751408,0.0
linear,0.712,0.7752460680898411,0.6904009817821187,0.5433152239823644,0.9373700974843968,0.0
linear,0.716,0.7785858957689785,0.6925053568093715,0.5456306303296163,0.9377519796729327,0.0
linear,0.72,0.7818736473183562,0.6960395092562031,0.5479804949432983,0.9380719616771634,0.0
linear,0.724,0.7851092160616638,0.6995916610981803,0.5503645964193193,0.9383318296016872,0.0
linear,0.728,0.7882925036929898,0.7031611259932242,0.5527826811676124,0.9385333839079963,0.0
linear,0.732,0.7914234207368831,0.7067471657177056,0.5552344657582734,0.9386784382999243,0.0
linear,0.736,0.794501887208932,0.7103489946225934,0.5577196392610064,0.9387688186171075,0.0
linear,0.74,0.797527833464074,0.7139657841460482,0.5602378655862983,0.9388063617470932,0.0
linear,0.744,0.8005012012198417,0.7175966673677086,0.5627887858361496,0.938792914566041,0.0
linear,0.748,0.8034219447418544,0.7212407435907553,0.5653720206715032,0.9387303329172901,0.0
linear,0.752,0.8062900321790961,0.7248970829386776,0.5679871727027452,0.938620480636379,0.0
linear,0.756,0.8091054470368245,0.7285647309545036,0.5706338289088144,0.9384652286303845,0.0
linear,0.76,0.8118681897752997,0.7322427131910523,0.5733115630895589,0.9382664540187513,0.0
linear,0.764,0.8145782795229106,0.735930039781554,0.576019938355047,0.9380260393420283,0.0
linear,0.768,0.8172357558926517,0.7396257099807272,0.5787585096545435,0.9377458718441873,0.0
linear,0.772,0.8198406808912896,0.7433287166671103,0.5815268263468738,0.9374278428334165,0.0
linear,0.776,0.8223931409109184,0.7470380507981098,0.5843244348128631,0.9370738471255032,0.0
linear,0.78,0.8248932487929324,0.7507527058098508,0.5871508811095076,0.9366857825730793,0.0
linear,0.784,0.8273411459547411,0.7544716819544806,0.5900057136645025,0.9362655496831808,0.0
linear,0.788,0.8297370045698175,0.7581939905681091,0.5928884860087216,0.9358150513246967,0.0
linear,0.792,0.8320810297918669,0.7619186582630303,0.5961029224444042,0.9353361925263954,0.0
linear,0.796,0.8343734620140866,0.7656447310383077,0.599313712852974,0.934830880365287,0.0
linear,0.8,0.8366145791545925,0.7693712783031628,0.6025099207332578,0.9343010239441517,0.0
linear,0.804,0.8388046989591722,0.7730973968079509,0.6056912849874552,0.9337485344560754,0.0
linear,0.808,0.840944181312538,0.776822214477775,0.6088575860442771,0.9331753253328416,0.0
linear,0.812,0.8430334305492353,0.780544894144023,0.6120086467917976,0.932583312473001,0.0
linear,0.8160000000000001,0.8450728977552983,0.7842646371693199,0.6151443335419622,0.9319744145443863,0.0
linear,0.8200000000000001,0.8470630830516255,0.7879806869615222,0.6182645570209293,0.9313505533547581,0.0
linear,0.8240000000000001,0.8490045378499069,0.7916923323725129,0.6213692733785628,0.9333509566159359,0.0
linear,0.8280000000000001,0.8508978670717269,0.7953989109776287,0.624458485209606,0.9362337832431976,0.0
linear,0.8320000000000001,0.8527437313212559,0.7990998122316104,0.627532242578349,0.9390880017380824,0.0
linear,0.836,0.8545428490016581,0.8027944804969871,0.6305906440379463,0.9419144995312285,0.0
linear,0.84,0.8562959983650629,0.8064824179408134,0.6332715586452797,0.9447141971490212,0.0
linear,0.844,0.8580040194855986,0.8101631872956531,0.6351350458117561,0.9474880489107004,0.0
linear,0.848,0.8596678161446423,0.8138364144806723,0.6369317928112342,0.9502370436104544,0.0
linear,0.852,0.8612883576170439,0.8175017910786602,0.6386611821545276,0.9529622051792326,0.0
linear,0.856,0.8628666803466691,0.8211590766647279,0.6404830238764412,0.955664593320659,0.0
linear,0.86,0.8644038894991818,0.8248081009823852,0.6424369013704944,0.9583453041151013,0.0
linear,0.864,0.8659011603795197,0.8284487659626225,0.6443593645900959,0.961005470585619,0.0
linear,0.868,0.8673597397010578,0.8320810475815591,0.6462497994695308,0.9636462632192173,0.0
linear,0.872,0.8687809466929595,0.8357049975521674,0.6481076705414108,0.9662688904365342,0.0
linear,0.876,0.8701661740317335,0.8393207448455253,0.6499325228743013,0.9688745990028198,0.0
linear,0.88,0.871516888582509,0.8429284970370117,0.6517239838450011,0.9714646743728071,0.0
linear,0.884,0.8728346319350514,0.8465285414728372,0.6546405285287471,0.9740404409618334,0.0
linear,0.888,0.8741210207190532,0.8501212462522956,0.6577092027402938,0.9766032623353598,0.0
linear,0.892,0.8753777466827646,0.8537070610211367,0.6607867527507509,0.9791545413088273,0.0
linear,0.896,0.8766065765185977,0.8572865175715054,0.6638736166537695,0.9816957199496248,0.0
linear,0.9,0.8778093514189305,0.8608602302439601,0.6669703219775363,0.9842282794727777,0.0
linear,0.904,0.8789879863450105,0.8644288961271821,0.6700774851720501,0.9867537400218456,0.0
linear,0.908,0.8801444689915907,0.8679932950511258,0.6731958107937905,0.9892736603264092,0.0
linear,0.912,0.8812808584297793,0.8710199110174217,0.6763260903838781,0.9917896372274481,0.0
linear,0.916,0.8823992834105499,0.8726351401862222,0.679469201036592,0.994303305061859,0.0
linear,0.92,0.883501940311494,0.8742703954994928,0.682626103655901,0.996816334897343,0.0
linear,0.924,0.8845910907097257,0.8759271931692103,0.6857978408985772,0.9993304336088923,0.0
linear,0.928,0.8856690585644016,0.8776070751710432,0.6889855348034236,1.0018473427881518,0.0
linear,0.932,0.8867382269931747,0.8793116055685812,0.6921903841071855,1.0043688374769848,0.0
linear,0.936,0.8878010346280598,0.8810423663722675,0.6954136612488271,1.006896724716689,0.0
linear,0.9400000000000001,0.8888599715377286,0.8826839205837488,0.698656709065028,1.0094328419044254,0.0
linear,0.9440000000000001,0.889917574705225,0.8842975975889366,0.7014427784721539,1.011979054948605,0.0
linear,0.9480000000000001,0.8909764230525073,0.8859397150104606,0.7025797651698797,1.0145372562151667,0.0
linear,0.9520000000000001,0.8920391320061691,0.8876118850035195,0.7037682794838114,1.017109362256928,0.0
linear,0.9560000000000001,0.8931083476021447,0.8893157118887497,0.7050116222485515,1.0196973113184533,0.0
linear,0.96,0.8941867401312222,0.8910527848790258,0.7063131364496528,1.0223030606091998,0.0
linear,0.964,0.8952769973317263,0.8928246702057427,0.7076761975350876,1.0249285833380464,0.0
linear,0.968,0.8963818171408005,0.8946329026303637,0.7091042032103704,1.027575865502689,0.0
linear,0.972,0.8975039000212144,0.8964701500792583,0.7106005627578482,1.030246902427805,0.0
linear,0.976,0.8986459408865037,0.8980043837264493,0.7121686859262433,1.0329436950463609,0.0
linear,0.98,0.8998106206533436,0.8995786902056381,0.7138119714419437,1.0356682459189033,0.0
linear,0.984,0.9010005974562503,0.9011944922899489,0.7155337951986747,1.038422554986239,0.0
linear,0.988,0.9022184975658005,0.9028531345591522,0.7173374981869638,1.0412086150514634,0.0
linear,0.992,0.903466906057302,0.9045558709046695,0.7192263742291338,1.0440284069879138,0.0
linear,0.996,0.904748357282099,0.9063038513706472,0.721203657589316,1.0468838946702839,0.0
linear,1.0,0.9060653251981361,0.9080981083448775,0.723272510531096,1.049777019626846,0.0
linear,1.004,0.9074202136198778,0.9099395421197202,0.7254360108977902,1.0527096954114645,0.0
linear,1.008,0.908815346449966,0.9118289058505133,0.7276971397919323,1.055683801694911,0.0
linear,1.012,0.9102529579559675,0.913766789947346,0.730058769431275,1.0587011780758597,0.0
linear,1.016,0.9117351831551158,0.915753605945717,0.7325236512584231,1.0617636176128846,0.0
linear,1.02,0.9132640483680952,0.9177895699126201,0.7350944043801039,1.0648728600798223,0.0
linear,1.024,0.9148414619997116,0.9198746854572508,0.7377735044100197,1.068030584947996,0.0
linear,1.028,0.9164692055998716,0.9220087264299615,0.7405632727862517,1.0703959390437139,0.0
linear,1.032,0.9181489252529526,0.9250588324098891,0.7434658666302998,1.072466970829289,0.0
linear,1.036,0.919882123337598,0.9295838124629265,0.7464832692101366,1.0746065472072281,0.0
linear,1.04,0.921670150692657,0.934178576780169,0.7496172810641678,1.0768149087222567,0.0
linear,1.044,0.9235141992187497,0.9388448975189065,0.7528695118368274,1.0790920582714472,0.0
linear,1.048,0.9254152949391704,0.9435844683329521,0.7562413728698192,1.0814377431994293,0.0
